ai_review_row_id,cert_gsp_id,cert_company_name,cert_region,cert_sub_region,source_customer_id,source_customer_name,source_region,source_sub_region,mapped_customer_id,mapped_customer_name,mapped_region,mapped_sub_region,match_score,match_basis,row_id,is_related,relation_type,confidence,reason
1,A2018120503232,Thasaamah Technology W.L.L,中东北非区,Qatar Group,,Thasaamah Technology W.L.L,,,A2019102800032,TRAFFIC TECH (GULF) W.L.L,中东北非区,Qatar Group,0.4848,名称词元相似匹配,1,否,无明显关系,0.93,同地区，但核心名称差异大；仅共享通用词 'TECH' 和法人后缀 'W.L.L'，不足以判断关联
2,A2025091300123,PCS SOLUTION,中东北非区,Morocco Group,,PCS SOLUTION,,,A2022091600424,PCS INVEST,中东北非区,Morocco Group,0.85,名称标准化后包含匹配,2,否,无明显关系,0.76,同地区且都以 'PCS' 开头，但后缀分别为 'SOLUTION' 与 'INVEST'，更像不同公司共享缩写
3,A2026051000170,NetSec SK s. r. o.,东北欧区,Czech Group,,NetSec SK s. r. o.,,,A2025092500250,Mark2 Corporation Slovakia s.r.o.,东北欧区,Czech Group,0.5143,名称词元相似匹配,3,否,无明显关系,0.95,地区一致，但 'NetSec SK' 与 'Mark2 Corporation Slovakia' 主体名称完全不同，'s.r.o.' 只是通用法人后缀
4,A2026050800314,Devjee International Trading Pty Ltd,非洲区,South Africa Group,,Devjee International Trading Pty Ltd,,,A2021031914418,MOTSHWANELO INFORMATION TECHNOLOGY CONSLUTING(PTY) LTD,非洲区,South Africa Group,0.5429,名称词元相似匹配,4,否,无明显关系,0.97,仅同地区；'Devjee International Trading' 与 'Motshwanelo Information Technology Consulting' 无实质名称重合
5,A2026051100080,almalath al arabia,中东北非区,Saudi Arabia Group,,almalath al arabia,,,A2023090200182,Al Malath Al Arabia Company,中东北非区,Saudi Arabia Group,0.973,名称词元相似匹配,5,是,同一公司,0.99,同地区，'almalath al arabia' 与 'Al Malath Al Arabia Company' 仅空格/大小写/后缀差异，明显为同一主体写法变体
6,A2018042500012,TransTelecom,欧亚区,Kazakhstan Group,,TransTelecom,,,A2018072100009,Kazakhtelecom JSC,欧亚区,Kazakhstan Group,0.5517,名称词元相似匹配,6,否,无明显关系,0.88,同地区，但 'TransTelecom' 与 'Kazakhtelecom' 仅共享通用行业词 'telecom'，核心品牌不同
7,A2024050400050,Light Way,中东北非区,East Mediterranean Group,A2024050400050,Light Way,中东北非区,East Mediterranean Group,A2024050400050,Light Way,中东北非区,East Mediterranean Group,1.0,账号直接匹配,7,是,同一公司,1.0,公司名与地区完全一致，可视为同一公司
8,A2020091110682,Sanadc,中东北非区,Saudi Arabia Group,,Sanadc,,,A2021121517910,Atadtech,中东北非区,Saudi Arabia Group,0.5714,名称词元相似匹配,8,否,无明显关系,0.98,'Sanadc' 与 'Atadtech' 名称差异明显，仅地区相同，不足以判断关联
9,A2019092000032,NHA Electronics,中东北非区,Tunisia Group,A2019092000032,NHA Electronics,中东北非区,Tunisia Group,A2019092000032,NHA Electronics,中东北非区,Tunisia Group,1.0,账号直接匹配,9,是,同一公司,1.0,公司名与地区完全一致，可视为同一公司
10,A2023011500092,U2C Unified Communication Concept,中东北非区,Tunisia Group,A2023011500092,U2C Unified Communication Concept,中东北非区,Tunisia Group,A2023011500092,U2C Unified Communication Concept,中东北非区,Tunisia Group,1.0,账号直接匹配,10,是,同一公司,1.0,公司名与地区完全一致，可视为同一公司
11,A2023051700688,Inel security,中东北非区,Tunisia Group,,Inel security,,,A2020070200218,Ell Jaber Security,中东北非区,Tunisia Group,0.7097,名称词元相似匹配,11,否,无明显关系,0.86,同地区，但仅共享通用词 'Security'，核心名称 'Inel' 与 'Ell Jaber' 不同
12,A2021122226008,Espace telecom,中东北非区,Tunisia Group,,Espace telecom,,,A2023040200152,Giga Telecom & Technology,中东北非区,Tunisia Group,0.6923,名称词元相似匹配,12,否,无明显关系,0.84,同地区，但仅共享通用行业词 'Telecom/Technology'，核心品牌不一致
13,A2026042200290,3S,中东北非区,Tunisia Group,,3S,,,A2021032921306,3S STANDARD Sharing Software,中东北非区,Tunisia Group,0.85,名称标准化后包含匹配,13,否,无明显关系,0.68,同地区，'3S' 与 '3S STANDARD Sharing Software' 存在前缀重合，但 '3S' 过于简短泛化，证据不足以认定关联
14,A2020070200218,Ell Jaber Security,中东北非区,Tunisia Group,A2020070200218,Ell Jaber Security,中东北非区,Tunisia Group,A2020070200218,Ell Jaber Security,中东北非区,Tunisia Group,1.0,账号直接匹配,14,是,同一公司,1.0,公司名与地区完全一致，可视为同一公司
15,A2023041100334,3S SECURITY,中东北非区,Tunisia Group,,3S SECURITY,,,A2020070200218,Ell Jaber Security,中东北非区,Tunisia Group,0.6207,名称词元相似匹配,15,否,无明显关系,0.9,同地区，但 '3S SECURITY' 与 'Ell Jaber Security' 仅共享通用词 'Security'，核心名称不同
16,A2022051205172,Soteme sfax,中东北非区,Tunisia Group,,Soteme sfax,,,A2018122800048,EPE RETELEM SPA,中东北非区,Tunisia Group,0.4615,名称词元相似匹配,16,否,无明显关系,0.97,'Soteme sfax' 与 'EPE RETELEM SPA' 名称差异大，仅地区一致，无法支持关联
17,A2020101506682,HPS TUNISIE,中东北非区,Tunisia Group,,HPS TUNISIE,,,A2019092000032,NHA Electronics,中东北非区,Tunisia Group,0.4615,名称词元相似匹配,17,否,无明显关系,0.97,'HPS TUNISIE' 与 'NHA Electronics' 核心名称完全不同，仅地区一致
18,A2026042700088,Blocks Trading And Contracting,中东北非区,Qatar Group,,Blocks Trading And Contracting,,,A2023110200286,first group for general trading & contracting,中东北非区,Qatar Group,0.6269,名称词元相似匹配,18,否,无明显关系,0.91,同地区，但双方仅共享通用词 'Trading & Contracting'，前缀主体完全不同
