row_id,is_related,relation_type,confidence,reason
1,否,无明显关系,0.93,"同地区，但核心名称差异大；仅共享通用词 'TECH' 和法人后缀 'W.L.L'，不足以判断关联"
2,否,无明显关系,0.76,"同地区且都以 'PCS' 开头，但后缀分别为 'SOLUTION' 与 'INVEST'，更像不同公司共享缩写"
3,否,无明显关系,0.95,"地区一致，但 'NetSec SK' 与 'Mark2 Corporation Slovakia' 主体名称完全不同，'s.r.o.' 只是通用法人后缀"
4,否,无明显关系,0.97,"仅同地区；'Devjee International Trading' 与 'Motshwanelo Information Technology Consulting' 无实质名称重合"
5,是,同一公司,0.99,"同地区，'almalath al arabia' 与 'Al Malath Al Arabia Company' 仅空格/大小写/后缀差异，明显为同一主体写法变体"
6,否,无明显关系,0.88,"同地区，但 'TransTelecom' 与 'Kazakhtelecom' 仅共享通用行业词 'telecom'，核心品牌不同"
7,是,同一公司,1.00,"公司名与地区完全一致，可视为同一公司"
8,否,无明显关系,0.98,"'Sanadc' 与 'Atadtech' 名称差异明显，仅地区相同，不足以判断关联"
9,是,同一公司,1.00,"公司名与地区完全一致，可视为同一公司"
10,是,同一公司,1.00,"公司名与地区完全一致，可视为同一公司"
11,否,无明显关系,0.86,"同地区，但仅共享通用词 'Security'，核心名称 'Inel' 与 'Ell Jaber' 不同"
12,否,无明显关系,0.84,"同地区，但仅共享通用行业词 'Telecom/Technology'，核心品牌不一致"
13,否,无明显关系,0.68,"同地区，'3S' 与 '3S STANDARD Sharing Software' 存在前缀重合，但 '3S' 过于简短泛化，证据不足以认定关联"
14,是,同一公司,1.00,"公司名与地区完全一致，可视为同一公司"
15,否,无明显关系,0.90,"同地区，但 '3S SECURITY' 与 'Ell Jaber Security' 仅共享通用词 'Security'，核心名称不同"
16,否,无明显关系,0.97,"'Soteme sfax' 与 'EPE RETELEM SPA' 名称差异大，仅地区一致，无法支持关联"
17,否,无明显关系,0.97,"'HPS TUNISIE' 与 'NHA Electronics' 核心名称完全不同，仅地区一致"
18,否,无明显关系,0.91,"同地区，但双方仅共享通用词 'Trading & Contracting'，前缀主体完全不同"
19,否,无明显关系,0.96,"'Servisecur Vigilancia Privada' 与 'Visotrónica' 名称无明显对应关系，仅地区一致"
20,是,同一公司,1.00,"公司名与地区完全一致，可视为同一公司"
21,否,无明显关系,0.72,"同地区，且都含 'Cipta Integrasi'，但前缀分别为 'Datacore' 与 'Sistem'，更像不同公司而非同一主体"
22,否,无明显关系,0.95,"'Hassoun Group' 与 'Harmonic Systems' 核心名称无关，仅地区相同"
23,否,无明显关系,0.87,"同地区，但仅共享通用词 'Security'，'Eyecam' 与 'Atlas' 为不同品牌主体"
24,否,无明显关系,0.96,"巴西同地区，但 'LIVETECH DA BAHIA' 与 'TECNO-IT' 名称结构和核心词均不同"
25,是,同一公司,1.00,"公司名标准化后完全一致，仅大小写和标点差异，为同一公司"
