cert_region,cert_sub_region,cert_gsp_id,cert_company_name,source_customer_id,source_customer_name,mapped_customer_id,mapped_customer_name,mapped_region,mapped_sub_region,match_basis,match_score,match_status,???source??
东北欧区,Poland Group,A2016110700010,Dahua Technology Poland Sp. z o.o.,,Dahua Technology Poland Sp. z o.o.,A2019090900184,YUNEX SP Z O O,东北欧区,Poland Group,名称词元相似匹配,0.6286,matched,?
东北欧区,Turkey Group,A2022111600600,Deniz Elektronik,,Deniz Elektronik,A2021100503862,DENGE ELEKTRONIK SAN. VE TIC. LTD. STI.,东北欧区,Turkey Group,名称词元相似匹配,0.5957,matched,?
东北欧区,Hungary Group,A2023032300366,BestByte Kft.,,BestByte Kft.,A2019053100038,NT SYS Kft.,东北欧区,Hungary Group,名称词元相似匹配,0.5455,matched,?
东北欧区,Czech Group,A2026051000170,NetSec SK s. r. o.,,NetSec SK s. r. o.,A2025092500250,Mark2 Corporation Slovakia s.r.o.,东北欧区,Czech Group,名称词元相似匹配,0.5143,matched,?
东南亚区,South Asian Association Group,A2025040800460,IT Solution Pvt Ltd.,,IT Solution Pvt Ltd.,A2018120200017,Optimal Technology (Pvt). Ltd.,东南亚区,South Asian Association Group,名称词元相似匹配,0.5882,matched,?
中东北非区,Pakistan Group,A2026010200054,Vital Karachi,,Vital Karachi,A2022082800198,Vital Tech International,中东北非区,Pakistan Group,AI???????????????+????->??????,0.82,matched_ai_override,?
中东北非区,Pakistan Group,A2017043000001,Vital,,Vital,A2022082800198,Vital Tech International,中东北非区,Pakistan Group,AI????????????????->??????,0.78,matched_ai_override,?
中东北非区,Tunisia Group,A2026042200290,3S,,3S,A2021032921306,3S STANDARD Sharing Software,中东北非区,Tunisia Group,名称标准化后包含匹配,0.85,matched,?
中东北非区,UAE Group,A2022082900202,Dubai Technologies,,Dubai Technologies,A2023083100364,PACC INFORMATION AND COMMUNICATION TECHNOLOGY L L C - DUBAI BRANCH,中东北非区,UAE Group,名称标准化后包含匹配,0.85,matched,?
中东北非区,Morocco Group,A2025091300123,PCS SOLUTION,,PCS SOLUTION,A2022091600424,PCS INVEST,中东北非区,Morocco Group,名称标准化后包含匹配,0.85,matched,?
中东北非区,Saudi Arabia Group,A2026051100080,almalath al arabia,,almalath al arabia,A2023090200182,Al Malath Al Arabia Company,中东北非区,Saudi Arabia Group,名称词元相似匹配,0.973,matched,?
中东北非区,UAE Group,A2025112400074,Inara International,,Inara International,A2022042913208,KTC International,中东北非区,UAE Group,名称词元相似匹配,0.7778,matched,?
中东北非区,UAE Group,A2021101822862,Spectrum International LLC,,Spectrum International LLC,A2018030600006,Omnix International LLC,中东北非区,UAE Group,名称词元相似匹配,0.7755,matched,?
中东北非区,UAE Group,A2022040100374,Spectrum Security Systems LLC,,Spectrum Security Systems LLC,A2019100100006,Atlas Security LLC,中东北非区,UAE Group,名称词元相似匹配,0.7179,matched,?
中东北非区,Tunisia Group,A2023051700688,Inel security,,Inel security,A2020070200218,Ell Jaber Security,中东北非区,Tunisia Group,名称词元相似匹配,0.7097,matched,?
中东北非区,Tunisia Group,A2021122226008,Espace telecom,,Espace telecom,A2023040200152,Giga Telecom & Technology,中东北非区,Tunisia Group,名称词元相似匹配,0.6923,matched,?
中东北非区,UAE Group,A2024082200320,NETS INTERNATIONAL COMMUNICATION L.L.C,,NETS INTERNATIONAL COMMUNICATION L.L.C,A2019110100004,Delta International Projects & Engineering L.L.C,中东北非区,UAE Group,名称词元相似匹配,0.6667,matched,?
中东北非区,UAE Group,A2018072600031,SIBCA Electronics Equipment Company Limited - LLC,,SIBCA Electronics Equipment Company Limited - LLC,A2020070200157,LTS Electromechanical Equipment installation LLC,中东北非区,UAE Group,名称词元相似匹配,0.6582,matched,?
中东北非区,UAE Group,A2020121611830,Oasis Enterprises LLC,,Oasis Enterprises LLC,A2023112400088,OASIS ENTERPRISES - SOLE PROPRIETORSHIP L.L.C.,中东北非区,UAE Group,名称词元相似匹配,0.6562,matched,?
中东北非区,UAE Group,A2025091600314,INSYNC INTERNATIONAL TECHNICAL SERVICES L.L.C,,INSYNC INTERNATIONAL TECHNICAL SERVICES L.L.C,A2022062314544,DYNAMIC INTERNATIONAL COMMERCIAL AGENCIES,中东北非区,UAE Group,名称词元相似匹配,0.6512,matched,?
中东北非区,Qatar Group,A2026042700088,Blocks Trading And Contracting,,Blocks Trading And Contracting,A2023110200286,first group for general trading & contracting,中东北非区,Qatar Group,名称词元相似匹配,0.6269,matched,?
中东北非区,Tunisia Group,A2023041100334,3S SECURITY,,3S SECURITY,A2020070200218,Ell Jaber Security,中东北非区,Tunisia Group,名称词元相似匹配,0.6207,matched,?
中东北非区,UAE Group,A2019062000032,Alsaher International Electronic System,,Alsaher International Electronic System,A2018030600006,Omnix International LLC,中东北非区,UAE Group,名称词元相似匹配,0.6182,matched,?
中东北非区,UAE Group,A2025032200174,Eyecam security,,Eyecam security,A2019100100006,Atlas Security LLC,中东北非区,UAE Group,名称词元相似匹配,0.6061,matched,?
中东北非区,UAE Group,A2025032100264,Glovis Technologies LLC,,Glovis Technologies LLC,A2018120503309,NFS technologies LLC,中东北非区,UAE Group,名称词元相似匹配,0.5882,matched,?
中东北非区,Saudi Arabia Group,A2020091110682,Sanadc,,Sanadc,A2021121517910,Atadtech,中东北非区,Saudi Arabia Group,名称词元相似匹配,0.5714,matched,?
